Round,Winning Number,Winning Index,Color
1,18,19,Red
2,16,17,Red
3,36,37,Red
4,31,32,Black
5,6,7,Black
6,4,5,Black
7,8,9,Black
8,4,5,Black
9,22,23,Black
10,34,35,Red
11,19,20,Red
12,1,2,Red
13,9,10,Red
14,16,17,Red
15,22,23,Black
16,1,2,Red
17,24,25,Black
18,12,13,Red
19,20,21,Black
20,13,14,Black
21,31,32,Black
22,22,23,Black
23,12,13,Red
24,16,17,Red
25,29,30,Black
26,34,35,Red
27,5,6,Red
28,33,34,Black
29,12,13,Red
30,26,27,Black
31,1,2,Red
32,32,33,Red
33,12,13,Red
34,34,35,Red
35,10,11,Black
36,27,28,Red
37,6,7,Black
38,25,26,Red
39,31,32,Black
40,2,3,Black
41,3,4,Red
42,33,34,Black
43,3,4,Red
44,31,32,Black
45,9,10,Red
46,17,18,Black
47,13,14,Black
48,18,19,Red
49,00,1,Green
50,3,4,Red
51,1,2,Red
52,10,11,Black
53,00,1,Green
54,34,35,Red
55,10,11,Black
56,30,31,Red
57,24,25,Black
58,2,3,Black
59,21,22,Red
60,20,21,Black
61,18,19,Red
62,7,8,Red
63,25,26,Red
64,0,0,Green
65,3,4,Red
66,10,11,Black
67,24,25,Black
68,36,37,Red
69,30,31,Red
70,26,27,Black
71,2,3,Black
72,3,4,Red
73,26,27,Black
74,23,24,Red
75,29,30,Black
76,27,28,Red
77,4,5,Black
78,24,25,Black
79,24,25,Black
80,4,5,Black
81,4,5,Black
82,00,1,Green
83,8,9,Black
84,10,11,Black
85,13,14,Black
86,8,9,Black
87,4,5,Black
88,20,21,Black
89,14,15,Red
90,11,12,Black
91,00,1,Green
92,25,26,Red
93,22,23,Black
94,16,17,Red
95,12,13,Red
96,14,15,Red
97,13,14,Black
98,35,36,Black
99,12,13,Red
100,8,9,Black
101,36,37,Red
102,13,14,Black
103,8,9,Black
104,26,27,Black
105,33,34,Black
106,6,7,Black
107,13,14,Black
108,31,32,Black
109,34,35,Red
110,19,20,Red
111,13,14,Black
112,25,26,Red
113,00,1,Green
114,15,16,Black
115,12,13,Red
116,9,10,Red
117,23,24,Red
118,14,15,Red
119,29,30,Black
120,17,18,Black
121,15,16,Black
122,22,23,Black
123,2,3,Black
124,3,4,Red
125,35,36,Black
126,2,3,Black
127,27,28,Red
128,4,5,Black
129,15,16,Black
130,33,34,Black
131,1,2,Red
132,9,10,Red
133,28,29,Black
134,0,0,Green
135,20,21,Black
136,5,6,Red
137,3,4,Red
138,17,18,Black
139,29,30,Black
140,16,17,Red
141,15,16,Black
142,34,35,Red
143,21,22,Red
144,8,9,Black
145,13,14,Black
146,9,10,Red
147,3,4,Red
148,23,24,Red
149,14,15,Red
150,0,0,Green
151,33,34,Black
152,35,36,Black
153,5,6,Red
154,29,30,Black
155,7,8,Red
156,36,37,Red
157,16,17,Red
158,28,29,Black
159,7,8,Red
160,16,17,Red
161,28,29,Black
162,13,14,Black
163,14,15,Red
164,13,14,Black
165,20,21,Black
166,1,2,Red
167,12,13,Red
168,19,20,Red
169,2,3,Black
170,1,2,Red
171,00,1,Green
172,12,13,Red
173,3,4,Red
174,8,9,Black
175,32,33,Red
176,00,1,Green
177,21,22,Red
178,34,35,Red
179,10,11,Black
180,4,5,Black
181,20,21,Black
182,31,32,Black
183,27,28,Red
184,11,12,Black
185,11,12,Black
186,17,18,Black
187,14,15,Red
188,28,29,Black
189,5,6,Red
190,21,22,Red
191,13,14,Black
192,3,4,Red
193,36,37,Red
194,16,17,Red
195,30,31,Red
196,29,30,Black
197,31,32,Black
198,27,28,Red
199,15,16,Black
200,13,14,Black
