Round,Winning Number,Winning Index,Color
1,28,29,Black
2,11,12,Black
3,29,30,Black
4,3,4,Red
5,28,29,Black
6,26,27,Black
7,12,13,Red
8,13,14,Black
9,32,33,Red
10,16,17,Red
11,25,26,Red
12,16,17,Red
13,19,20,Red
14,18,19,Red
15,4,5,Black
16,14,15,Red
17,34,35,Red
18,35,36,Black
19,22,23,Black
20,22,23,Black
21,22,23,Black
22,6,7,Black
23,1,2,Red
24,22,23,Black
25,31,32,Black
26,28,29,Black
27,4,5,Black
28,9,10,Red
29,2,3,Black
30,10,11,Black
31,2,3,Black
32,36,37,Red
33,3,4,Red
34,16,17,Red
35,23,24,Red
36,27,28,Red
37,29,30,Black
38,26,27,Black
39,14,15,Red
40,3,4,Red
41,6,7,Black
42,19,20,Red
43,33,34,Black
44,4,5,Black
45,32,33,Red
46,31,32,Black
47,11,12,Black
48,22,23,Black
49,8,9,Black
50,7,8,Red
51,8,9,Black
52,36,37,Red
53,0,0,Green
54,17,18,Black
55,8,9,Black
56,10,11,Black
57,00,1,Green
58,24,25,Black
59,30,31,Red
60,9,10,Red
61,15,16,Black
62,36,37,Red
63,35,36,Black
64,30,31,Red
65,28,29,Black
66,10,11,Black
67,20,21,Black
68,24,25,Black
69,6,7,Black
70,23,24,Red
71,36,37,Red
72,25,26,Red
73,34,35,Red
74,23,24,Red
75,15,16,Black
76,11,12,Black
77,3,4,Red
78,9,10,Red
79,10,11,Black
80,13,14,Black
81,21,22,Red
82,21,22,Red
83,22,23,Black
84,29,30,Black
85,3,4,Red
86,28,29,Black
87,10,11,Black
88,26,27,Black
89,28,29,Black
90,33,34,Black
91,35,36,Black
92,17,18,Black
93,3,4,Red
94,15,16,Black
95,29,30,Black
96,1,2,Red
97,30,31,Red
98,6,7,Black
99,25,26,Red
100,10,11,Black
101,28,29,Black
102,31,32,Black
103,6,7,Black
104,12,13,Red
105,30,31,Red
106,31,32,Black
107,19,20,Red
108,36,37,Red
109,18,19,Red
110,33,34,Black
111,2,3,Black
112,30,31,Red
113,1,2,Red
114,19,20,Red
115,9,10,Red
116,23,24,Red
117,11,12,Black
118,23,24,Red
119,35,36,Black
120,14,15,Red
121,7,8,Red
122,5,6,Red
123,36,37,Red
124,25,26,Red
125,36,37,Red
126,25,26,Red
127,33,34,Black
128,22,23,Black
129,9,10,Red
130,00,1,Green
131,31,32,Black
132,13,14,Black
133,2,3,Black
134,9,10,Red
135,11,12,Black
136,12,13,Red
137,19,20,Red
138,21,22,Red
139,6,7,Black
140,3,4,Red
141,1,2,Red
142,30,31,Red
143,10,11,Black
144,28,29,Black
145,24,25,Black
146,19,20,Red
147,27,28,Red
148,15,16,Black
149,6,7,Black
150,4,5,Black
151,27,28,Red
152,1,2,Red
153,17,18,Black
154,20,21,Black
155,26,27,Black
156,29,30,Black
157,25,26,Red
158,12,13,Red
159,15,16,Black
160,29,30,Black
161,13,14,Black
162,26,27,Black
163,33,34,Black
164,2,3,Black
165,18,19,Red
166,35,36,Black
167,21,22,Red
168,6,7,Black
169,35,36,Black
170,0,0,Green
171,10,11,Black
172,16,17,Red
173,12,13,Red
174,23,24,Red
175,18,19,Red
176,26,27,Black
177,6,7,Black
178,7,8,Red
179,14,15,Red
180,27,28,Red
181,7,8,Red
182,5,6,Red
183,6,7,Black
184,18,19,Red
185,33,34,Black
186,0,0,Green
187,15,16,Black
188,18,19,Red
189,30,31,Red
190,17,18,Black
191,19,20,Red
192,21,22,Red
193,6,7,Black
194,35,36,Black
195,2,3,Black
196,20,21,Black
197,10,11,Black
198,1,2,Red
199,23,24,Red
200,0,0,Green
201,9,10,Red
202,23,24,Red
203,34,35,Red
204,32,33,Red
205,10,11,Black
206,18,19,Red
207,24,25,Black
208,25,26,Red
209,35,36,Black
210,19,20,Red
211,32,33,Red
212,30,31,Red
213,32,33,Red
214,12,13,Red
215,36,37,Red
216,31,32,Black
217,4,5,Black
218,4,5,Black
219,35,36,Black
220,26,27,Black
221,21,22,Red
222,8,9,Black
223,24,25,Black
224,4,5,Black
225,32,33,Red
226,26,27,Black
227,12,13,Red
228,34,35,Red
229,4,5,Black
230,6,7,Black
231,31,32,Black
232,15,16,Black
233,29,30,Black
234,18,19,Red
235,4,5,Black
236,0,0,Green
237,17,18,Black
238,24,25,Black
239,32,33,Red
240,36,37,Red
241,29,30,Black
242,11,12,Black
243,18,19,Red
244,35,36,Black
245,34,35,Red
246,23,24,Red
247,9,10,Red
248,5,6,Red
249,11,12,Black
250,12,13,Red
251,0,0,Green
252,13,14,Black
253,31,32,Black
254,33,34,Black
255,15,16,Black
256,18,19,Red
257,34,35,Red
258,5,6,Red
259,31,32,Black
260,4,5,Black
261,22,23,Black
262,32,33,Red
263,11,12,Black
264,28,29,Black
265,17,18,Black
266,9,10,Red
267,10,11,Black
268,31,32,Black
269,1,2,Red
270,12,13,Red
271,32,33,Red
272,13,14,Black
273,8,9,Black
274,25,26,Red
275,6,7,Black
276,18,19,Red
277,29,30,Black
278,00,1,Green
279,11,12,Black
280,27,28,Red
281,8,9,Black
282,18,19,Red
283,1,2,Red
284,24,25,Black
285,36,37,Red
286,3,4,Red
287,34,35,Red
288,10,11,Black
289,24,25,Black
290,23,24,Red
291,8,9,Black
292,26,27,Black
293,16,17,Red
294,7,8,Red
295,36,37,Red
296,00,1,Green
297,11,12,Black
298,16,17,Red
299,16,17,Red
300,25,26,Red
301,21,22,Red
302,14,15,Red
303,31,32,Black
304,11,12,Black
305,34,35,Red
306,14,15,Red
307,28,29,Black
308,11,12,Black
309,00,1,Green
310,11,12,Black
311,12,13,Red
312,20,21,Black
313,3,4,Red
314,0,0,Green
315,25,26,Red
316,3,4,Red
317,1,2,Red
318,13,14,Black
319,21,22,Red
320,25,26,Red
321,10,11,Black
322,25,26,Red
323,24,25,Black
324,2,3,Black
325,34,35,Red
326,30,31,Red
327,27,28,Red
328,9,10,Red
329,14,15,Red
330,13,14,Black
331,14,15,Red
332,16,17,Red
333,22,23,Black
334,29,30,Black
