Round,Winning Number,Winning Index,Color
1,33,34,Black
2,00,1,Green
3,13,14,Black
4,00,1,Green
5,36,37,Red
6,11,12,Black
7,5,6,Red
8,16,17,Red
9,5,6,Red
10,33,34,Black
11,25,26,Red
12,0,0,Green
13,23,24,Red
14,10,11,Black
15,3,4,Red
16,6,7,Black
17,9,10,Red
18,3,4,Red
19,22,23,Black
20,26,27,Black
21,18,19,Red
22,5,6,Red
23,13,14,Black
24,5,6,Red
25,7,8,Red
26,33,34,Black
27,1,2,Red
28,32,33,Red
29,21,22,Red
30,5,6,Red
31,27,28,Red
32,32,33,Red
33,7,8,Red
34,27,28,Red
35,10,11,Black
36,5,6,Red
37,29,30,Black
38,3,4,Red
39,31,32,Black
40,5,6,Red
41,21,22,Red
42,32,33,Red
43,19,20,Red
44,19,20,Red
45,23,24,Red
46,26,27,Black
47,22,23,Black
48,1,2,Red
49,26,27,Black
50,15,16,Black
51,1,2,Red
52,21,22,Red
53,2,3,Black
54,13,14,Black
55,17,18,Black
56,17,18,Black
57,21,22,Red
58,22,23,Black
59,21,22,Red
60,7,8,Red
61,31,32,Black
62,9,10,Red
63,31,32,Black
64,32,33,Red
65,11,12,Black
66,33,34,Black
67,11,12,Black
68,32,33,Red
69,31,32,Black
70,32,33,Red
71,19,20,Red
72,11,12,Black
73,22,23,Black
74,18,19,Red
75,14,15,Red
76,3,4,Red
77,0,0,Green
78,27,28,Red
79,6,7,Black
80,32,33,Red
81,31,32,Black
82,35,36,Black
83,0,0,Green
84,33,34,Black
85,13,14,Black
86,29,30,Black
87,0,0,Green
88,3,4,Red
89,5,6,Red
90,9,10,Red
91,15,16,Black
92,21,22,Red
93,29,30,Black
94,18,19,Red
95,17,18,Black
96,27,28,Red
97,30,31,Red
98,22,23,Black
99,8,9,Black
100,6,7,Black
101,19,20,Red
102,13,14,Black
103,10,11,Black
104,28,29,Black
105,10,11,Black
106,1,2,Red
107,21,22,Red
108,36,37,Red
109,26,27,Black
110,25,26,Red
111,34,35,Red
112,16,17,Red
113,7,8,Red
114,31,32,Black
115,17,18,Black
116,27,28,Red
117,7,8,Red
118,10,11,Black
119,25,26,Red
120,18,19,Red
121,28,29,Black
122,15,16,Black
123,28,29,Black
124,13,14,Black
125,28,29,Black
126,31,32,Black
127,11,12,Black
128,13,14,Black
129,27,28,Red
130,22,23,Black
131,32,33,Red
132,5,6,Red
133,35,36,Black
134,24,25,Black
135,7,8,Red
136,2,3,Black
137,35,36,Black
138,9,10,Red
139,29,30,Black
140,1,2,Red
141,8,9,Black
142,2,3,Black
143,10,11,Black
144,24,25,Black
145,5,6,Red
146,0,0,Green
147,31,32,Black
148,30,31,Red
149,4,5,Black
150,26,27,Black
151,34,35,Red
152,0,0,Green
153,30,31,Red
154,0,0,Green
155,9,10,Red
156,13,14,Black
157,4,5,Black
158,16,17,Red
159,18,19,Red
160,27,28,Red
161,29,30,Black
162,26,27,Black
163,12,13,Red
164,33,34,Black
165,31,32,Black
166,16,17,Red
167,32,33,Red
168,10,11,Black
169,16,17,Red
170,17,18,Black
171,2,3,Black
172,35,36,Black
173,18,19,Red
174,34,35,Red
175,2,3,Black
176,28,29,Black
177,19,20,Red
178,00,1,Green
179,28,29,Black
180,15,16,Black
181,27,28,Red
182,7,8,Red
183,16,17,Red
184,11,12,Black
185,16,17,Red
186,30,31,Red
187,5,6,Red
188,23,24,Red
189,10,11,Black
190,3,4,Red
191,33,34,Black
192,36,37,Red
193,8,9,Black
194,6,7,Black
195,26,27,Black
196,0,0,Green
197,15,16,Black
198,2,3,Black
199,33,34,Black
200,7,8,Red
201,4,5,Black
202,3,4,Red
203,2,3,Black
204,18,19,Red
