Round,Winning Number,Winning Index,Color
1,23,24,Red
2,15,16,Black
3,7,8,Red
4,26,27,Black
5,31,32,Black
6,30,31,Red
7,15,16,Black
8,2,3,Black
9,11,12,Black
10,20,21,Black
11,32,33,Red
12,7,8,Red
13,17,18,Black
14,15,16,Black
15,1,2,Red
16,13,14,Black
17,22,23,Black
18,1,2,Red
19,13,14,Black
20,4,5,Black
21,35,36,Black
22,16,17,Red
23,8,9,Black
24,12,13,Red
25,16,17,Red
26,5,6,Red
27,17,18,Black
28,36,37,Red
29,0,0,Green
30,31,32,Black
31,26,27,Black
32,13,14,Black
33,27,28,Red
34,3,4,Red
35,29,30,Black
36,29,30,Black
37,9,10,Red
38,0,0,Green
39,26,27,Black
40,22,23,Black
41,23,24,Red
42,36,37,Red
43,32,33,Red
44,31,32,Black
45,33,34,Black
46,2,3,Black
47,19,20,Red
48,36,37,Red
49,15,16,Black
50,35,36,Black
51,9,10,Red
52,10,11,Black
53,9,10,Red
54,14,15,Red
55,26,27,Black
56,1,2,Red
57,26,27,Black
58,24,25,Black
59,2,3,Black
60,4,5,Black
61,21,22,Red
62,30,31,Red
63,6,7,Black
64,29,30,Black
65,6,7,Black
66,14,15,Red
67,21,22,Red
68,6,7,Black
69,32,33,Red
70,27,28,Red
71,11,12,Black
72,35,36,Black
73,35,36,Black
74,7,8,Red
75,13,14,Black
76,3,4,Red
77,4,5,Black
78,4,5,Black
79,23,24,Red
80,33,34,Black
81,2,3,Black
82,8,9,Black
83,10,11,Black
84,33,34,Black
85,0,0,Green
86,8,9,Black
87,18,19,Red
88,23,24,Red
89,4,5,Black
90,2,3,Black
91,17,18,Black
92,35,36,Black
93,15,16,Black
94,7,8,Red
95,25,26,Red
96,30,31,Red
97,24,25,Black
98,20,21,Black
99,29,30,Black
100,36,37,Red
101,28,29,Black
102,4,5,Black
103,11,12,Black
104,21,22,Red
105,32,33,Red
106,14,15,Red
107,5,6,Red
108,5,6,Red
109,13,14,Black
110,1,2,Red
111,17,18,Black
112,11,12,Black
113,29,30,Black
114,34,35,Red
115,6,7,Black
116,24,25,Black
117,23,24,Red
118,5,6,Red
119,6,7,Black
120,13,14,Black
121,32,33,Red
122,18,19,Red
123,0,0,Green
124,00,1,Green
125,14,15,Red
126,29,30,Black
127,8,9,Black
128,11,12,Black
129,0,0,Green
130,2,3,Black
131,28,29,Black
132,00,1,Green
133,35,36,Black
134,35,36,Black
135,13,14,Black
136,32,33,Red
137,26,27,Black
138,4,5,Black
139,0,0,Green
140,17,18,Black
141,11,12,Black
142,36,37,Red
143,35,36,Black
144,29,30,Black
145,35,36,Black
146,1,2,Red
147,34,35,Red
148,22,23,Black
149,26,27,Black
150,31,32,Black
151,16,17,Red
152,29,30,Black
153,8,9,Black
154,23,24,Red
155,11,12,Black
156,16,17,Red
157,6,7,Black
158,19,20,Red
159,0,0,Green
160,22,23,Black
161,34,35,Red
162,6,7,Black
163,14,15,Red
164,15,16,Black
165,34,35,Red
166,24,25,Black
167,3,4,Red
168,6,7,Black
169,14,15,Red
170,24,25,Black
171,11,12,Black
172,6,7,Black
173,25,26,Red
174,22,23,Black
175,16,17,Red
176,26,27,Black
177,9,10,Red
178,0,0,Green
179,7,8,Red
180,22,23,Black
181,35,36,Black
182,1,2,Red
183,28,29,Black
184,0,0,Green
185,9,10,Red
186,12,13,Red
187,29,30,Black
188,29,30,Black
189,22,23,Black
190,35,36,Black
191,26,27,Black
192,28,29,Black
193,28,29,Black
194,17,18,Black
195,12,13,Red
196,23,24,Red
197,35,36,Black
198,0,0,Green
199,34,35,Red
200,2,3,Black
201,18,19,Red
202,11,12,Black
203,36,37,Red
204,2,3,Black
205,19,20,Red
206,3,4,Red
207,28,29,Black
208,30,31,Red
209,26,27,Black
210,0,0,Green
211,17,18,Black
212,17,18,Black
213,31,32,Black
214,18,19,Red
215,3,4,Red
216,20,21,Black
217,1,2,Red
218,24,25,Black
219,10,11,Black
220,32,33,Red
221,0,0,Green
222,24,25,Black
223,36,37,Red
224,23,24,Red
225,18,19,Red
226,10,11,Black
227,8,9,Black
228,13,14,Black
229,25,26,Red
230,14,15,Red
231,27,28,Red
232,13,14,Black
233,14,15,Red
234,35,36,Black
235,12,13,Red
236,35,36,Black
237,9,10,Red
238,5,6,Red
239,32,33,Red
240,22,23,Black
241,35,36,Black
242,19,20,Red
243,10,11,Black
244,0,0,Green
245,36,37,Red
246,16,17,Red
247,19,20,Red
248,12,13,Red
249,11,12,Black
250,36,37,Red
251,18,19,Red
252,14,15,Red
253,00,1,Green
254,19,20,Red
255,34,35,Red
256,8,9,Black
257,9,10,Red
258,26,27,Black
259,00,1,Green
260,00,1,Green
261,23,24,Red
262,5,6,Red
263,16,17,Red
264,11,12,Black
265,29,30,Black
266,26,27,Black
267,34,35,Red
268,1,2,Red
269,5,6,Red
270,9,10,Red
271,25,26,Red
272,7,8,Red
273,4,5,Black
274,18,19,Red
275,20,21,Black
276,26,27,Black
277,28,29,Black
278,30,31,Red
279,6,7,Black
280,28,29,Black
281,13,14,Black
282,4,5,Black
283,19,20,Red
284,29,30,Black
285,25,26,Red
286,13,14,Black
287,22,23,Black
288,21,22,Red
289,6,7,Black
290,15,16,Black
291,19,20,Red
292,32,33,Red
293,20,21,Black
294,3,4,Red
295,12,13,Red
296,00,1,Green
297,11,12,Black
298,2,3,Black
299,00,1,Green
300,14,15,Red
301,7,8,Red
302,10,11,Black
303,36,37,Red
304,19,20,Red
305,17,18,Black
306,8,9,Black
307,17,18,Black
308,33,34,Black
309,33,34,Black
310,23,24,Red
311,20,21,Black
312,33,34,Black
313,30,31,Red
314,29,30,Black
315,14,15,Red
316,15,16,Black
317,14,15,Red
318,22,23,Black
319,3,4,Red
320,21,22,Red
321,29,30,Black
322,0,0,Green
323,16,17,Red
324,2,3,Black
325,17,18,Black
326,22,23,Black
327,24,25,Black
328,32,33,Red
329,33,34,Black
330,29,30,Black
331,5,6,Red
332,19,20,Red
333,8,9,Black
334,00,1,Green
335,28,29,Black
336,9,10,Red
337,7,8,Red
338,12,13,Red
339,23,24,Red
340,27,28,Red
341,36,37,Red
342,3,4,Red
343,32,33,Red
344,11,12,Black
345,30,31,Red
346,0,0,Green
347,26,27,Black
348,27,28,Red
349,17,18,Black
350,29,30,Black
351,7,8,Red
352,28,29,Black
353,34,35,Red
354,20,21,Black
355,21,22,Red
356,23,24,Red
357,8,9,Black
358,10,11,Black
359,21,22,Red
360,4,5,Black
361,32,33,Red
362,4,5,Black
363,22,23,Black
364,29,30,Black
365,14,15,Red
366,27,28,Red
367,32,33,Red
368,17,18,Black
369,1,2,Red
370,27,28,Red
371,8,9,Black
372,27,28,Red
373,30,31,Red
374,5,6,Red
375,36,37,Red
376,26,27,Black
377,29,30,Black
378,8,9,Black
379,22,23,Black
380,9,10,Red
381,35,36,Black
382,34,35,Red
383,19,20,Red
384,19,20,Red
385,7,8,Red
386,6,7,Black
387,14,15,Red
388,6,7,Black
389,28,29,Black
390,00,1,Green
391,30,31,Red
392,26,27,Black
393,5,6,Red
394,10,11,Black
395,33,34,Black
396,26,27,Black
397,9,10,Red
398,25,26,Red
399,10,11,Black
400,1,2,Red
401,27,28,Red
402,34,35,Red
403,26,27,Black
404,17,18,Black
405,20,21,Black
406,18,19,Red
407,9,10,Red
408,24,25,Black
409,11,12,Black
410,24,25,Black
411,0,0,Green
412,17,18,Black
413,33,34,Black
414,8,9,Black
415,0,0,Green
416,17,18,Black
417,7,8,Red
418,32,33,Red
419,12,13,Red
420,6,7,Black
421,3,4,Red
422,33,34,Black
423,6,7,Black
424,16,17,Red
425,00,1,Green
426,10,11,Black
427,23,24,Red
428,4,5,Black
429,8,9,Black
430,9,10,Red
431,34,35,Red
432,26,27,Black
433,28,29,Black
434,8,9,Black
435,7,8,Red
436,27,28,Red
437,36,37,Red
438,6,7,Black
439,29,30,Black
440,26,27,Black
441,30,31,Red
442,3,4,Red
443,14,15,Red
444,30,31,Red
445,16,17,Red
446,27,28,Red
447,5,6,Red
448,23,24,Red
449,26,27,Black
450,0,0,Green
451,4,5,Black
452,0,0,Green
453,25,26,Red
454,8,9,Black
455,29,30,Black
456,33,34,Black
457,11,12,Black
458,0,0,Green
459,29,30,Black
460,17,18,Black
461,20,21,Black
462,36,37,Red
463,13,14,Black
464,23,24,Red
465,20,21,Black
466,16,17,Red
467,00,1,Green
468,6,7,Black
469,15,16,Black
470,5,6,Red
471,20,21,Black
472,24,25,Black
473,0,0,Green
474,19,20,Red
475,3,4,Red
476,18,19,Red
477,10,11,Black
478,35,36,Black
479,25,26,Red
480,34,35,Red
481,28,29,Black
482,30,31,Red
483,28,29,Black
484,20,21,Black
485,33,34,Black
486,14,15,Red
487,28,29,Black
488,34,35,Red
489,6,7,Black
490,22,23,Black
491,2,3,Black
492,14,15,Red
493,33,34,Black
494,32,33,Red
495,26,27,Black
496,24,25,Black
497,22,23,Black
498,10,11,Black
499,4,5,Black
500,28,29,Black
501,21,22,Red
502,24,25,Black
503,15,16,Black
504,23,24,Red
505,17,18,Black
506,6,7,Black
507,3,4,Red
508,34,35,Red
509,21,22,Red
510,11,12,Black
511,15,16,Black
512,20,21,Black
513,30,31,Red
514,6,7,Black
515,0,0,Green
516,36,37,Red
517,4,5,Black
518,24,25,Black
519,0,0,Green
520,00,1,Green
521,3,4,Red
522,16,17,Red
523,19,20,Red
524,1,2,Red
525,29,30,Black
526,31,32,Black
527,27,28,Red
528,10,11,Black
529,15,16,Black
530,36,37,Red
531,26,27,Black
532,34,35,Red
533,3,4,Red
534,29,30,Black
535,24,25,Black
536,0,0,Green
537,6,7,Black
538,3,4,Red
539,34,35,Red
540,3,4,Red
541,13,14,Black
542,16,17,Red
543,28,29,Black
