Round,Winning Number,Winning Index,Color
1,27,28,Red
2,11,12,Black
3,32,33,Red
4,00,1,Green
5,26,27,Black
6,25,26,Red
7,17,18,Black
8,32,33,Red
9,3,4,Red
10,00,1,Green
11,9,10,Red
12,13,14,Black
13,35,36,Black
14,35,36,Black
15,30,31,Red
16,12,13,Red
17,13,14,Black
18,27,28,Red
19,11,12,Black
20,15,16,Black
21,3,4,Red
22,15,16,Black
23,13,14,Black
24,7,8,Red
25,00,1,Green
26,35,36,Black
27,20,21,Black
28,9,10,Red
29,33,34,Black
30,5,6,Red
31,29,30,Black
32,25,26,Red
33,30,31,Red
34,18,19,Red
35,13,14,Black
36,18,19,Red
37,9,10,Red
38,8,9,Black
39,25,26,Red
40,0,0,Green
41,13,14,Black
42,17,18,Black
43,6,7,Black
44,10,11,Black
45,18,19,Red
46,30,31,Red
47,20,21,Black
48,3,4,Red
49,26,27,Black
50,20,21,Black
51,24,25,Black
52,28,29,Black
53,30,31,Red
54,20,21,Black
55,20,21,Black
56,30,31,Red
57,36,37,Red
58,25,26,Red
59,35,36,Black
60,1,2,Red
61,22,23,Black
62,23,24,Red
63,10,11,Black
64,27,28,Red
65,19,20,Red
66,26,27,Black
67,0,0,Green
68,24,25,Black
69,4,5,Black
70,16,17,Red
71,23,24,Red
72,36,37,Red
73,18,19,Red
74,34,35,Red
75,5,6,Red
76,23,24,Red
77,4,5,Black
78,30,31,Red
79,25,26,Red
80,20,21,Black
81,8,9,Black
82,20,21,Black
83,11,12,Black
84,23,24,Red
85,10,11,Black
86,13,14,Black
87,22,23,Black
88,18,19,Red
89,33,34,Black
90,24,25,Black
91,6,7,Black
92,2,3,Black
93,7,8,Red
94,11,12,Black
95,35,36,Black
96,2,3,Black
97,21,22,Red
98,31,32,Black
99,24,25,Black
100,29,30,Black
